biomass     C:\Users\jpw\OneDrive\Masters 2020-2022\Main Project\Ogmap2 - Demo
Using bandwidths  [ 0.622, 20.2, 1.05 ] 
Year Estimate Mass50 LowCIprob UpCIprob LowCIval UpCIval LRP USR ProbLRP ProbUSR Gini
2460 135 48.7 0.025 0.975 115 156 na na na na na 
2461 151 46.8 0.025 0.975 131 174 na na na na na 
2462 148 48.0 0.025 0.975 127 169 na na na na na 
2463 163 48.1 0.025 0.975 142 186 na na na na na 
2464 150 48.2 0.025 0.975 128 173 na na na na na 
2465 145 48.4 0.025 0.975 126 166 na na na na na 
2466 146 48.2 0.025 0.975 123 168 na na na na na 
2467 152 47.1 0.025 0.975 131 174 na na na na na 
2468 160 47.2 0.025 0.975 138 184 na na na na na 
2469 126 48.4 0.025 0.975 108 146 na na na na na 
2470 135 48.0 0.025 0.975 114 158 na na na na na 
2471 158 47.7 0.025 0.975 135 184 na na na na na 
2472 137 48.2 0.025 0.975 115 161 na na na na na 
2473 141 48.1 0.025 0.975 118 165 na na na na na 
2474 138 47.6 0.025 0.975 116 162 na na na na na 
2475 127 48.2 0.025 0.975 106 150 na na na na na 
2476 141 47.7 0.025 0.975 122 162 na na na na na 
2477 153 47.3 0.025 0.975 125 181 na na na na na 
2478 148 47.7 0.025 0.975 130 170 na na na na na 
2479 132 47.8 0.025 0.975 112 154 na na na na na 
2480 132 47.9 0.025 0.975 110 156 na na na na na 
2481 149 47.3 0.025 0.975 122 179 na na na na na 
2482 139 47.2 0.025 0.975 119 161 na na na na na 
2483 135 47.8 0.025 0.975 117 154 na na na na na 
2484 179 48.3 0.025 0.975 153 206 na na na na na 
2485 116 48.2 0.025 0.975 101 133 na na na na na 
2486 133 47.8 0.025 0.975 114 153 na na na na na 
2487 146 47.4 0.025 0.975 123 170 na na na na na 
2488 129 48.3 0.025 0.975 110 149 na na na na na 
2489 121 48.2 0.025 0.975 103 141 na na na na na 
2490 125 45.3 0.025 0.975 106 146 na na na na na 
