biomass     C:\Users\jpw\OneDrive\Masters 2020-2022\Main Project\Ogmap2 - Demo
Using bandwidths  [ 0.622, 20.2, 1.05 ] 
Year Estimate Mass50 LowCIprob UpCIprob LowCIval UpCIval LRP USR ProbLRP ProbUSR Gini
2100 118 47.7 0.025 0.975 102 136 na na na na na 
2101 143 48.7 0.025 0.975 125 163 na na na na na 
2102 113 48.2 0.025 0.975 95.9 130 na na na na na 
2103 126 48.3 0.025 0.975 107 146 na na na na na 
2104 134 48.3 0.025 0.975 112 156 na na na na na 
2105 135 48.0 0.025 0.975 115 157 na na na na na 
2106 147 48.7 0.025 0.975 127 168 na na na na na 
2107 137 47.8 0.025 0.975 116 160 na na na na na 
2108 156 48.0 0.025 0.975 134 178 na na na na na 
2109 136 48.1 0.025 0.975 113 159 na na na na na 
2110 152 48.7 0.025 0.975 135 171 na na na na na 
2111 120 48.1 0.025 0.975 101 139 na na na na na 
2112 147 47.7 0.025 0.975 124 171 na na na na na 
2113 128 47.9 0.025 0.975 107 149 na na na na na 
2114 138 48.2 0.025 0.975 119 161 na na na na na 
2115 140 47.8 0.025 0.975 121 162 na na na na na 
2116 127 48.6 0.025 0.975 107 150 na na na na na 
2117 133 47.2 0.025 0.975 114 154 na na na na na 
2118 133 47.4 0.025 0.975 112 156 na na na na na 
2119 135 48.6 0.025 0.975 118 155 na na na na na 
2120 159 47.5 0.025 0.975 138 181 na na na na na 
2121 149 48.6 0.025 0.975 128 172 na na na na na 
2122 104 48.6 0.025 0.975 88.9 121 na na na na na 
2123 111 46.5 0.025 0.975 91.1 131 na na na na na 
2124 155 48.5 0.025 0.975 132 180 na na na na na 
2125 150 48.3 0.025 0.975 129 172 na na na na na 
2126 127 48.7 0.025 0.975 109 147 na na na na na 
2127 158 47.1 0.025 0.975 137 179 na na na na na 
2128 127 48.5 0.025 0.975 110 145 na na na na na 
2129 144 48.0 0.025 0.975 122 168 na na na na na 
2130 123 48.2 0.025 0.975 104 143 na na na na na 
2131 179 47.6 0.025 0.975 153 206 na na na na na 
2132 139 47.8 0.025 0.975 118 160 na na na na na 
2133 157 48.2 0.025 0.975 133 181 na na na na na 
2134 163 48.8 0.025 0.975 144 185 na na na na na 
2135 137 47.5 0.025 0.975 120 156 na na na na na 
2136 130 48.1 0.025 0.975 110 151 na na na na na 
2137 165 48.3 0.025 0.975 144 187 na na na na na 
2138 142 46.9 0.025 0.975 119 166 na na na na na 
2139 149 48.4 0.025 0.975 127 173 na na na na na 
2140 125 48.6 0.025 0.975 105 147 na na na na na 
2141 127 47.1 0.025 0.975 106 149 na na na na na 
2142 141 47.4 0.025 0.975 122 161 na na na na na 
2143 132 47.5 0.025 0.975 112 153 na na na na na 
2144 131 48.3 0.025 0.975 113 150 na na na na na 
2145 126 47.1 0.025 0.975 109 144 na na na na na 
2146 148 47.3 0.025 0.975 129 170 na na na na na 
2147 146 47.2 0.025 0.975 125 169 na na na na na 
2148 145 48.3 0.025 0.975 126 167 na na na na na 
2149 145 45.6 0.025 0.975 124 168 na na na na na 
2150 140 46.4 0.025 0.975 120 160 na na na na na 
2151 146 48.3 0.025 0.975 124 171 na na na na na 
2152 142 48.0 0.025 0.975 122 164 na na na na na 
2153 163 47.7 0.025 0.975 141 185 na na na na na 
2154 138 47.3 0.025 0.975 114 163 na na na na na 
2155 121 47.6 0.025 0.975 102 141 na na na na na 
2156 110 48.1 0.025 0.975 94.1 127 na na na na na 
2157 175 48.3 0.025 0.975 151 202 na na na na na 
2158 133 48.0 0.025 0.975 109 158 na na na na na 
2159 133 47.2 0.025 0.975 116 152 na na na na na 
2160 126 47.6 0.025 0.975 109 143 na na na na na 
2161 132 47.7 0.025 0.975 114 152 na na na na na 
2162 112 47.6 0.025 0.975 91.9 133 na na na na na 
2163 137 47.6 0.025 0.975 116 159 na na na na na 
2164 127 47.8 0.025 0.975 109 144 na na na na na 
2165 137 48.3 0.025 0.975 118 157 na na na na na 
