year lat long depth NAFO sfa stratum biomass
1991 266.5 46.5 739.2508 3K 6 5 102.321562112028
1992 285.5 63.5 744.2246 3K 6 5 79.5126221544789
1993 276.5 37.5 613.1421 3K 6 5 1095.75393196842
1994 286.5 67.5 709.995 3K 6 5 542.500174537091
1995 274.5 42.5 653.2486 3K 6 5 56.135483596179
1996 283.5 44.5 768.7368 3K 6 5 103.488737817531
1997 289.5 43.5 762.2767 3K 6 5 213.622483852468
1998 296.5 43.5 853.3357 3K 6 5 378.668960706641
1999 282.5 46.5 803.7202 3K 6 5 85.9406641337505
2000 264.5 41.5 761.6447 3K 6 5 192.56802416689
2001 268.5 35.5 660.715 3K 6 5 155.054254188649
2002 291.5 45.5 881.7282 3K 6 5 92.8518434646959
2003 275.5 53.5 691.0708 3K 6 5 63.4425702386847
2004 286.5 55.5 738.4365 3K 6 5 574.8603433903
2005 302.5 40.5 783.6805 3K 6 5 217.433758774519
2006 289.5 70.5 738.857 3K 6 5 5.68842080258555
2007 274.5 55.5 715.5533 3K 6 5 289.597698814115
2008 281.5 50.5 708.029 3K 6 5 178.927349796191
2009 288.5 54.5 777.6511 3K 6 5 64.1404377013066
2010 273.5 49.5 781.0541 3K 6 5 1301.32128796577
2011 265.5 50.5 819.0899 3K 6 5 48.4769039629062
2012 271.5 51.5 763.5295 3K 6 5 435.586876252502
2013 287.5 74.5 675.1315 3K 6 5 542.986528750042
2014 291.5 46.5 739.2303 3K 6 5 185.548174205387
2015 280.5 58.5 808.3369 3K 6 5 227.38668668845
2016 292.5 39.5 759.1863 3K 6 5 716.472138143946
2017 294.5 41.5 736.2964 3K 6 5 179.879648620034
2018 292.5 40.5 727.1487 3K 6 5 318.246857763912
2019 280.5 50.5 733.6349 3K 6 5 179.403902738321
2020 288.5 70.5 721.5702 3K 6 5 228.258525476853
2021 280.5 57.5 721.663 3K 6 5 659.768040348247
2022 277.5 42.5 633.5359 3K 6 5 281.721027237317
2023 285.5 69.5 728.4003 3K 6 5 339.726815053384
2024 301.5 45.5 815.7935 3K 6 5 935.400633234889
2025 298.5 46.5 825.8346 3K 6 5 703.863478170574
2026 290.5 45.5 776.5692 3K 6 5 85.1987142029777
2027 285.5 52.5 824.92 3K 6 5 4.19701178650179
2028 296.5 43.5 853.3357 3K 6 5 5.28869467889741
2029 276.5 47.5 739.4597 3K 6 5 91.2311292910341
2030 291.5 41.5 754.8543 3K 6 5 165.307339129566
2031 276.5 55.5 764.5263 3K 6 5 158.947245969662
2032 297.5 49.5 789.3431 3K 6 5 132.966492821242
2033 287.5 45.5 760.8998 3K 6 5 8.18681713122849
2034 282.5 70.5 756.8507 3K 6 5 1198.58448162904
2035 279.5 77.5 749.2405 3K 6 5 135.652191298551
2036 281.5 37.5 684.148 3K 6 5 203.434705846489
2037 298.5 37.5 817.1677 3K 6 5 42.2476672508379
2038 277.5 75.5 809.5917 3K 6 5 68.9716946026722
2039 266.5 43.5 858.1589 3K 6 5 130.907459728023
2040 262.5 44.5 794.9389 3K 6 5 151.816710600362
2041 275.5 77.5 839.4896 3K 6 5 99.8902517437646
2042 262.5 48.5 787.0213 3K 6 5 320.31867589108
2043 304.5 40.5 752.0553 3K 6 5 716.915306863395
2044 293.5 39.5 755.7165 3K 6 5 188.126406726532
2045 299.5 47.5 873.638 3K 6 5 125.438622495897
2046 298.5 50.5 810.2339 3K 6 5 55.0609412619236
2047 290.5 71.5 750.167 3K 6 5 190.967068419993
2048 263.5 39.5 735.7272 3K 6 5 62.6891336302367
2049 267.5 46.5 809.2227 3K 6 5 618.397369607088
2050 279.5 79.5 818.4668 3K 6 5 623.264471132002
2051 279.5 40.5 643.5726 3K 6 5 719.599298456779
2052 302.5 44.5 754.0891 3K 6 5 119.185818435597
2053 278.5 51.5 697.9379 3K 6 5 1119.14696833099
2054 294.5 46.5 793.53 3K 6 5 386.721263189499
2055 265.5 39.5 619.4641 3K 6 5 177.691684089691
2056 273.5 44.5 831.9203 3K 6 5 66.9618564185334
2057 294.5 44.5 806.7595 3K 6 5 127.898965031917
2058 291.5 45.5 881.7282 3K 6 5 366.672071786329
2059 301.5 44.5 771.0369 3K 6 5 59.6510189116979
2060 277.5 47.5 694.073 3K 6 5 1091.54858535854
2061 278.5 75.5 825.0629 3K 6 5 22.3893281215254
2062 282.5 78.5 762.5102 3K 6 5 187.151701297349
2063 272.5 48.5 803.6474 3K 6 5 231.061040093762
2064 281.5 45.5 609.0009 3K 6 5 200.464349845091
2065 272.5 46.5 788.0908 3K 6 5 295.063460817028
2066 288.5 71.5 790.4872 3K 6 5 130.12516038162
2067 274.5 76.5 745.5714 3K 6 5 194.563956033303
2068 291.5 51.5 836.495 3K 6 5 83.0416298389115
2069 279.5 55.5 805.4497 3K 6 5 185.465557732869
2070 262.5 35.5 754.7261 3K 6 5 320.97635370625
2071 275.5 75.5 720.3523 3K 6 5 198.892286594458
2072 270.5 38.5 652.5788 3K 6 5 234.470971412361
2073 293.5 41.5 815.8651 3K 6 5 160.955858034266
2074 276.5 56.5 692.8449 3K 6 5 317.471686023991
2075 300.5 44.5 837.5483 3K 6 5 181.273853206406
2076 279.5 49.5 686.7019 3K 6 5 148.369076014927
2077 282.5 38.5 679.0248 3K 6 5 259.669427291609
2078 285.5 38.5 750.819 3K 6 5 261.310898855132
2079 285.5 70.5 831.6871 3K 6 5 21.8163761244681
2080 290.5 73.5 731.8267 3K 6 5 196.323555388906
2081 267.5 37.5 662.0625 3K 6 5 80.1955693269084
2082 261.5 42.5 775.0177 3K 6 5 308.117936355408
2083 287.5 38.5 727.8904 3K 6 5 323.492997293467
2084 281.5 80.5 712.0423 3K 6 5 367.910726316994
2085 297.5 38.5 779.0562 3K 6 5 245.785918197812
2086 265.5 51.5 737.1998 3K 6 5 36.8803679226255
2087 276.5 59.5 788.0988 3K 6 5 374.499070124457
2088 290.5 46.5 812.2074 3K 6 5 21.153355882694
2089 267.5 43.5 835.7495 3K 6 5 549.2311252169
2090 270.5 43.5 812.8658 3K 6 5 60.6970116081993
2091 265.5 39.5 619.4641 3K 6 5 369.267569532366
2092 294.5 53.5 653.3707 3K 6 5 583.083515331036
2093 283.5 50.5 689.7399 3K 6 5 126.922357760412
2094 270.5 41.5 642.6691 3K 6 5 742.250980002107
2095 285.5 77.5 720.3627 3K 6 5 301.352400318843
2096 288.5 48.5 846.2738 3K 6 5 171.263130477671
2097 263.5 47.5 737.1595 3K 6 5 1252.0409172127
2098 274.5 50.5 740.591 3K 6 5 327.810675445367
2099 285.5 63.5 744.2246 3K 6 5 183.625364061666
2100 284.5 43.5 848.09 3K 6 5 222.757518609219
2101 285.5 64.5 656.561 3K 6 5 339.343144042572
2102 265.5 47.5 737.1408 3K 6 5 61.7854598961297
2103 286.5 53.5 813.4122 3K 6 5 448.351327957749
2104 265.5 44.5 785.6686 3K 6 5 100.872296572562
2105 279.5 36.5 604.4924 3K 6 5 99.1610482262507
2106 299.5 38.5 831.9707 3K 6 5 246.897906398062
2107 307.5 40.5 729.3495 3K 6 5 502.620655736744
2108 299.5 48.5 842.9998 3K 6 5 233.91820911693
2109 269.5 39.5 700.8974 3K 6 5 19.4042500299996
2110 282.5 59.5 823.8936 3K 6 5 443.150127212213
2111 265.5 35.5 741.0158 3K 6 5 175.855467002477
2112 284.5 47.5 724.4323 3K 6 5 118.247524741326
2113 261.5 38.5 768.4886 3K 6 5 199.779364333517
2114 295.5 40.5 793.4411 3K 6 5 109.604236420262
2115 282.5 63.5 847.5059 3K 6 5 326.396183397531
2116 285.5 37.5 768.6855 3K 6 5 626.85808842057
2117 285.5 39.5 723.2805 3K 6 5 636.881131706648
2118 267.5 51.5 767.0128 3K 6 5 55.8671142134436
2119 266.5 44.5 811.6224 3K 6 5 86.6511520301734
2120 283.5 70.5 760.3021 3K 6 5 273.687270774746
2121 284.5 78.5 807.0468 3K 6 5 319.69221497668
2122 292.5 40.5 727.1487 3K 6 5 335.938780381994
2123 286.5 42.5 810.5516 3K 6 5 347.887414125685
2124 291.5 41.5 754.8543 3K 6 5 306.671882368259
2125 283.5 44.5 768.7368 3K 6 5 52.0362359085068
2126 278.5 51.5 697.9379 3K 6 5 39.5019707881115
2127 281.5 37.5 684.148 3K 6 5 250.150852368117
2128 268.5 55.5 810.9959 3K 6 5 105.18847764981
2129 303.5 41.5 747.2054 3K 6 5 174.403084887548
2130 303.5 40.5 745.4899 3K 6 5 308.38060756858
2131 296.5 53.5 670.8952 3K 6 5 607.133199906248
2132 281.5 79.5 774.687 3K 6 5 292.166110261831
2133 308.5 41.5 760.8571 3K 6 5 151.926875932224
2134 280.5 57.5 721.663 3K 6 5 143.949321533634
2135 282.5 71.5 685.4831 3K 6 5 101.246657423749
2136 289.5 69.5 849.6011 3K 6 5 116.181680646479
2137 298.5 44.5 907.4832 3K 6 5 345.678466367967
2138 295.5 39.5 860.0681 3K 6 5 52.7912749284352
2139 280.5 51.5 726.9392 3K 6 5 428.790363427442
2140 289.5 37.5 836.5042 3K 6 5 117.525935231656
2141 284.5 54.5 724.8652 3K 6 5 196.862738408965
2142 271.5 39.5 733.2671 3K 6 5 436.293527901756
2143 306.5 38.5 821.6979 3K 6 5 96.2804827621134
2144 283.5 41.5 693.3865 3K 6 5 318.988387862812
2145 288.5 54.5 777.6511 3K 6 5 532.699402738722
2146 275.5 42.5 680.3398 3K 6 5 392.711351854406
2147 299.5 44.5 875.1227 3K 6 5 87.8967044093227
2148 299.5 49.5 852.5158 3K 6 5 185.709502603425
2149 291.5 37.5 826.4855 3K 6 5 79.3274176221
2150 283.5 59.5 802.017 3K 6 5 31.4425487265346
2151 288.5 44.5 819.1992 3K 6 5 122.732322432916
2152 281.5 50.5 708.029 3K 6 5 50.7923544287907
2153 273.5 39.5 633.2396 3K 6 5 1798.64267894248
2154 264.5 54.5 691.1123 3K 6 5 1102.53491111917
2155 283.5 36.5 750.4906 3K 6 5 208.415285664559
2156 281.5 78.5 676.0297 3K 6 5 148.509648125161
2157 287.5 68.5 736.3436 3K 6 5 462.636195599841
2158 278.5 78.5 751.5739 3K 6 5 119.834015748516
2159 283.5 47.5 710.6985 3K 6 5 404.135399250168
2160 285.5 68.5 737.0772 3K 6 5 570.498602990949
2161 299.5 38.5 831.9707 3K 6 5 109.727304717385
2162 281.5 38.5 654.2603 3K 6 5 390.438575968774
2163 288.5 42.5 797.8248 3K 6 5 1.07161192889996
2164 306.5 39.5 749.1067 3K 6 5 146.706057860678
2165 283.5 70.5 760.3021 3K 6 5 3.15071856151192
2166 280.5 53.5 748.5075 3K 6 5 472.066669315239
2167 269.5 49.5 786.1048 3K 6 5 829.007425906614
2168 283.5 48.5 736.6655 3K 6 5 546.60104851533
2169 266.5 39.5 621.775 3K 6 5 162.413682013113
2170 286.5 41.5 786.063 3K 6 5 7.5557969695478
2171 276.5 38.5 626.2849 3K 6 5 79.3092129248646
2172 272.5 52.5 681.622 3K 6 5 390.215811249509
2173 284.5 43.5 848.09 3K 6 5 72.1841864996035
2174 295.5 45.5 836.1811 3K 6 5 193.334757871832
2175 273.5 36.5 613.1819 3K 6 5 1418.71742218781
2176 273.5 39.5 633.2396 3K 6 5 815.72598763705
2177 288.5 71.5 790.4872 3K 6 5 340.645522336154
2178 263.5 49.5 817.983 3K 6 5 69.7109370438353
2179 292.5 45.5 882.4501 3K 6 5 1119.50504918052
2180 291.5 45.5 881.7282 3K 6 5 139.554758466442
2181 278.5 54.5 764.2984 3K 6 5 315.839269392794
2182 296.5 54.5 772.1458 3K 6 5 468.236737166984
2183 273.5 76.5 723.3417 3K 6 5 135.240320374762
2184 263.5 47.5 737.1595 3K 6 5 265.252270945115
2185 285.5 69.5 728.4003 3K 6 5 57.4771698365326
2186 282.5 72.5 734.3516 3K 6 5 539.055531245314
2187 297.5 52.5 735.6246 3K 6 5 282.15847628829
2188 289.5 73.5 724.4398 3K 6 5 725.32583548502
2189 263.5 45.5 774.2693 3K 6 5 245.869295235291
2190 263.5 38.5 703.7497 3K 6 5 1117.59581542191
2191 261.5 38.5 768.4886 3K 6 5 314.197257469617
2192 287.5 50.5 891.2828 3K 6 5 376.588310142454
2193 284.5 67.5 793.2784 3K 6 5 318.765323218646
2194 266.5 50.5 807.4162 3K 6 5 263.222714488106
2195 285.5 63.5 744.2246 3K 6 5 521.46714585789
2196 300.5 50.5 828.0176 3K 6 5 89.4641649306456
2197 288.5 46.5 831.9914 3K 6 5 305.523857343449
2198 283.5 79.5 672.1065 3K 6 5 139.362844633691
2199 269.5 50.5 847.2141 3K 6 5 155.106955637975
2200 282.5 69.5 804.4351 3K 6 5 70.6450297087862
2201 298.5 39.5 879.3462 3K 6 5 332.826925477575
2202 274.5 44.5 758.3951 3K 6 5 22.6003783427287
2203 281.5 39.5 701.8874 3K 6 5 38.0387600622227
2204 285.5 73.5 666.9163 3K 6 5 567.935103554468
2205 293.5 40.5 832.7594 3K 6 5 255.554142348754
2206 274.5 38.5 662.1329 3K 6 5 930.977945468158
2207 264.5 42.5 775.3181 3K 6 5 174.265793008925
2208 300.5 40.5 783.4101 3K 6 5 440.948623429199
2209 284.5 69.5 818.8272 3K 6 5 343.760983376658
2210 290.5 49.5 843.9844 3K 6 5 260.318939552398
2211 297.5 47.5 818.2329 3K 6 5 303.331248458587
2212 306.5 30.5 819.1657 3K 6 5 14.0502845425103
2213 294.5 47.5 770.2157 3K 6 5 268.575126789201
2214 283.5 54.5 814.3232 3K 6 5 679.434638704994
2215 303.5 40.5 745.4899 3K 6 5 342.118755281189
2216 287.5 41.5 816.055 3K 6 5 241.985553565692
2217 282.5 69.5 804.4351 3K 6 5 294.903072911021
2218 275.5 47.5 727.4163 3K 6 5 334.195257250596
2219 278.5 43.5 737.2273 3K 6 5 156.889694877878
2220 291.5 42.5 725.859 3K 6 5 1104.29576648954
2221 296.5 49.5 769.562 3K 6 5 106.035762228962
2222 287.5 49.5 865.5204 3K 6 5 72.3319762740115
2223 262.5 39.5 752.6526 3K 6 5 255.603692773008
2224 275.5 47.5 727.4163 3K 6 5 283.426553479953
2225 289.5 37.5 836.5042 3K 6 5 51.1527580877857
2226 292.5 46.5 767.8573 3K 6 5 603.434561969691
2227 279.5 54.5 777.7198 3K 6 5 222.245617619533
2228 308.5 40.5 761.7658 3K 6 5 80.7364998907084
2229 270.5 36.5 603.4847 3K 6 5 202.145093275531
2230 272.5 54.5 709.4771 3K 6 5 458.360603937374
2231 272.5 56.5 791.0361 3K 6 5 49.4580016941979
2232 284.5 48.5 738.5402 3K 6 5 71.3072314823202
2233 278.5 47.5 700.5895 3K 6 5 72.5617334187516
2234 278.5 51.5 697.9379 3K 6 5 440.94016144582
2235 280.5 38.5 642.3865 3K 6 5 185.293939297233
2236 300.5 45.5 856.8888 3K 6 5 99.2823268287292
2237 264.5 38.5 662.9274 3K 6 5 418.419566819369
2238 262.5 48.5 787.0213 3K 6 5 27.8202738834434
2239 306.5 30.5 819.1657 3K 6 5 107.826310390317
2240 281.5 36.5 707.7691 3K 6 5 483.782236885005
2241 296.5 43.5 853.3357 3K 6 5 32.6969040896257
2242 276.5 59.5 788.0988 3K 6 5 214.435627040454
2243 290.5 52.5 784.7343 3K 6 5 181.901040114659
2244 284.5 50.5 760.0329 3K 6 5 175.127062922758
2245 274.5 75.5 749.1028 3K 6 5 17.5771900163888
2246 292.5 39.5 759.1863 3K 6 5 124.553956915488
2247 275.5 47.5 727.4163 3K 6 5 382.966645559566
2248 272.5 36.5 620.2059 3K 6 5 313.504907339507
2249 291.5 51.5 836.495 3K 6 5 162.521085269961
2250 303.5 42.5 778.8166 3K 6 5 41.0457758903171
2251 289.5 45.5 832.3909 3K 6 5 290.218952674666
2252 277.5 40.5 636.0835 3K 6 5 734.15570040254
2253 273.5 38.5 659.653 3K 6 5 487.088160237948
2254 279.5 51.5 614.323 3K 6 5 274.431868464831
2255 268.5 55.5 810.9959 3K 6 5 421.684897071109
2256 299.5 43.5 842.02 3K 6 5 7.97388632751735
2257 298.5 43.5 887.0793 3K 6 5 70.0591219729742
2258 270.5 44.5 807.362 3K 6 5 277.646174185413
2259 272.5 51.5 735.7317 3K 6 5 329.571270961228
2260 286.5 47.5 780.7699 3K 6 5 84.3440834139618
2261 279.5 42.5 690.8567 3K 6 5 3.47721977220742
2262 297.5 41.5 838.705 3K 6 5 143.350163792247
2263 275.5 44.5 691.4729 3K 6 5 362.880281053317
2264 284.5 37.5 773.6636 3K 6 5 138.267013117107
2265 264.5 43.5 819.3585 3K 6 5 264.270424873583
2266 301.5 41.5 780.2661 3K 6 5 18.2006977860537
2267 276.5 55.5 764.5263 3K 6 5 186.317844308826
2268 283.5 39.5 794.3318 3K 6 5 197.375961064231
2269 274.5 57.5 800.8656 3K 6 5 703.94394664155
2270 288.5 41.5 771.7424 3K 6 5 69.1046918255146
2271 293.5 46.5 846.8072 3K 6 5 18.2986973331422
2272 298.5 53.5 719.0249 3K 6 5 363.517579525465
2273 266.5 42.5 723.1112 3K 6 5 209.651105706599
2274 282.5 53.5 713.9329 3K 6 5 276.942511118778
2275 266.5 51.5 770.9662 3K 6 5 167.259534440685
2276 279.5 75.5 749.2843 3K 6 5 414.446663257936
2277 283.5 39.5 794.3318 3K 6 5 64.0878526040644
2278 287.5 68.5 736.3436 3K 6 5 142.498929432105
2279 282.5 59.5 823.8936 3K 6 5 579.379117214137
2280 262.5 50.5 707.8634 3K 6 5 397.281284065955
2281 264.5 52.5 699.0385 3K 6 5 185.224464272537
2282 280.5 54.5 828.7092 3K 6 5 56.1079498712961
2283 294.5 50.5 809.3725 3K 6 5 313.390763185198
2284 288.5 50.5 843.3222 3K 6 5 1084.58652504591
2285 286.5 76.5 769.591 3K 6 5 1104.74453286695
2286 282.5 51.5 754.4684 3K 6 5 142.935744153248
2287 272.5 39.5 700.6195 3K 6 5 50.1942463252186
2288 277.5 46.5 749.5715 3K 6 5 1016.4215326374
2289 280.5 59.5 784.593 3K 6 5 221.243343477952
2290 286.5 49.5 840.5287 3K 6 5 234.107170385735
2291 286.5 55.5 738.4365 3K 6 5 855.86622903119
2292 308.5 39.5 761.1117 3K 6 5 1521.84794511377
2293 280.5 50.5 733.6349 3K 6 5 159.841213593108
2294 284.5 50.5 760.0329 3K 6 5 41.3644902642497
2295 286.5 67.5 709.995 3K 6 5 11.9289107633339
2296 283.5 39.5 794.3318 3K 6 5 560.87404491078
2297 281.5 50.5 708.029 3K 6 5 376.846467385853
2298 269.5 50.5 847.2141 3K 6 5 196.910674695202
2299 265.5 40.5 672.7323 3K 6 5 903.613231586686
2300 284.5 76.5 749.5314 3K 6 5 137.579632643703
2301 288.5 69.5 707.7297 3K 6 5 330.797311615972
2302 293.5 48.5 764.5734 3K 6 5 466.462097086527
2303 284.5 61.5 710.4262 3K 6 5 84.3746409856686
2304 286.5 43.5 835.4721 3K 6 5 252.468863598086
2305 266.5 55.5 829.1297 3K 6 5 229.764601945524
2306 287.5 74.5 675.1315 3K 6 5 27.1058288692131
2307 284.5 54.5 724.8652 3K 6 5 114.494256062774
2308 286.5 53.5 813.4122 3K 6 5 458.93576510632
2309 285.5 54.5 764.5156 3K 6 5 981.75712428758
2310 281.5 80.5 712.0423 3K 6 5 134.846327627468
2311 296.5 53.5 670.8952 3K 6 5 134.250385904179
2312 261.5 45.5 836.21 3K 6 5 82.4158579043342
2313 281.5 41.5 714.0902 3K 6 5 25.3856602253561
2314 291.5 40.5 756.2332 3K 6 5 26.6197660767167
2315 285.5 73.5 666.9163 3K 6 5 425.225395900338
2316 297.5 47.5 818.2329 3K 6 5 151.4488122957
2317 267.5 38.5 659.6496 3K 6 5 520.601942392014
2318 287.5 48.5 762.0212 3K 6 5 42.6209516550886
2319 277.5 37.5 536.7728 3K 6 5 774.514476124502
2320 275.5 44.5 691.4729 3K 6 5 93.7007574031639
2321 294.5 46.5 793.53 3K 6 5 353.1048597112
2322 292.5 43.5 808.7969 3K 6 5 125.763940044651
2323 300.5 46.5 937.5736 3K 6 5 65.7220505235607
2324 285.5 53.5 822.7666 3K 6 5 592.566294232334
2325 300.5 45.5 856.8888 3K 6 5 90.5733222717487
2326 267.5 43.5 835.7495 3K 6 5 471.622341803718
2327 266.5 51.5 770.9662 3K 6 5 237.503974680233
2328 284.5 66.5 793.7062 3K 6 5 865.755798299727
2329 292.5 45.5 882.4501 3K 6 5 43.8731367392879
2330 274.5 46.5 736.7949 3K 6 5 1053.11581612454
2331 288.5 73.5 696.9348 3K 6 5 379.479001751089
2332 291.5 37.5 826.4855 3K 6 5 80.2150500068433
2333 267.5 41.5 715.2746 3K 6 5 420.16080434305
2334 286.5 72.5 701.025 3K 6 5 1212.25941215602
2335 284.5 47.5 724.4323 3K 6 5 195.109940601932
2336 273.5 75.5 765.3901 3K 6 5 44.8559003521214
2337 277.5 37.5 536.7728 3K 6 5 1413.5793635127
2338 295.5 37.5 778.0944 3K 6 5 93.1592766964959
2339 282.5 74.5 774.9719 3K 6 5 5.64477099580347
2340 285.5 51.5 828.1324 3K 6 5 330.682580055303
2341 298.5 44.5 907.4832 3K 6 5 37.8028210525271
2342 270.5 55.5 823.6212 3K 6 5 24.0856578239199
2343 297.5 48.5 815.173 3K 6 5 17.2109963395307
2344 268.5 44.5 856.3616 3K 6 5 194.633830240967
2345 263.5 42.5 848.9347 3K 6 5 92.4143300226714
2346 291.5 47.5 777.7106 3K 6 5 272.468017599354
2347 282.5 50.5 747.8279 3K 6 5 755.299773411929
2348 271.5 39.5 733.2671 3K 6 5 629.741251063743
2349 280.5 78.5 759.5903 3K 6 5 109.345378448557
2350 285.5 65.5 746.7816 3K 6 5 597.334839513363
2351 272.5 36.5 620.2059 3K 6 5 176.866273953457
2352 268.5 51.5 822.2858 3K 6 5 31.6832987740893
2353 305.5 37.5 788.8163 3K 6 5 109.951063302835
2354 289.5 53.5 782.2413 3K 6 5 119.201964315918
2355 283.5 67.5 803.5786 3K 6 5 205.043962999378
2356 268.5 44.5 856.3616 3K 6 5 149.139236117593
2357 275.5 52.5 754.1031 3K 6 5 206.790540822137
2358 275.5 36.5 637.012 3K 6 5 205.403321768143
2359 271.5 54.5 833.1143 3K 6 5 146.609608740257
2360 278.5 47.5 700.5895 3K 6 5 661.717460636438
2361 277.5 51.5 700.9504 3K 6 5 329.438116954498
2362 286.5 76.5 769.591 3K 6 5 121.72353527057
2363 271.5 40.5 701.2455 3K 6 5 576.411825765161
2364 294.5 46.5 793.53 3K 6 5 257.22321640106
2365 268.5 46.5 755.7021 3K 6 5 876.799738154804
2366 274.5 50.5 740.591 3K 6 5 255.712763373989
2367 282.5 78.5 762.5102 3K 6 5 51.5200347009061
2368 303.5 40.5 745.4899 3K 6 5 280.704547299356
2369 273.5 41.5 794.2311 3K 6 5 328.622526212137
2370 277.5 59.5 796.5458 3K 6 5 48.4405295922623
2371 291.5 39.5 814.5401 3K 6 5 41.5068329155682
2372 287.5 76.5 695.2873 3K 6 5 239.409330251207
2373 286.5 40.5 716.3039 3K 6 5 570.951378135001
2374 282.5 54.5 746.2456 3K 6 5 283.006825941333
2375 301.5 44.5 771.0369 3K 6 5 137.609789954952
2376 273.5 51.5 763.4965 3K 6 5 208.003551784364
2377 269.5 42.5 819.4801 3K 6 5 422.696108200419
2378 301.5 43.5 845.8998 3K 6 5 88.7610608125684
2379 292.5 45.5 882.4501 3K 6 5 8.66900850219127
2380 277.5 49.5 677.3254 3K 6 5 1457.41159184857
2381 292.5 41.5 813.5936 3K 6 5 136.60449834628
2382 282.5 75.5 800.4889 3K 6 5 55.2003463964897
2383 279.5 41.5 685.9754 3K 6 5 240.009729194707
2384 277.5 76.5 759.7846 3K 6 5 60.1207750684439
2385 283.5 64.5 698.1944 3K 6 5 287.051222951948
2386 278.5 53.5 743.3796 3K 6 5 124.320610039819
2387 282.5 54.5 746.2456 3K 6 5 543.199112811207
2388 287.5 41.5 816.055 3K 6 5 29.8045049343051
2389 267.5 54.5 816.373 3K 6 5 232.213570999192
2390 283.5 60.5 807.3606 3K 6 5 5.60469350457528
2391 270.5 39.5 615.4845 3K 6 5 1175.23359317244
2392 278.5 74.5 739.6106 3K 6 5 147.069848255399
2393 286.5 77.5 777.6093 3K 6 5 131.048092916561
2394 266.5 40.5 732.7429 3K 6 5 1159.38147789111
2395 288.5 54.5 777.6511 3K 6 5 87.8583142866852
2396 286.5 47.5 780.7699 3K 6 5 312.154757063557
2397 278.5 37.5 588.7285 3K 6 5 699.44093066648
2398 276.5 77.5 731.2421 3K 6 5 631.194844805304
2399 307.5 38.5 790.1466 3K 6 5 55.1787358051987
2400 274.5 50.5 740.591 3K 6 5 686.038732630348
2401 281.5 52.5 708.6135 3K 6 5 542.086197979728
2402 280.5 75.5 836.1121 3K 6 5 51.1738602123454
2403 301.5 47.5 902.0733 3K 6 5 812.304147161788
2404 275.5 44.5 691.4729 3K 6 5 113.341296711555
2405 283.5 68.5 773.3388 3K 6 5 528.623609090063
2406 286.5 39.5 746.4265 3K 6 5 381.364391019529
2407 290.5 38.5 820.28 3K 6 5 55.1694413766527
2408 295.5 44.5 825.853 3K 6 5 22.3938294596978
2409 269.5 48.5 913.3045 3K 6 5 23.9704421224035
2410 301.5 44.5 771.0369 3K 6 5 283.404501732636
2411 283.5 37.5 709.0234 3K 6 5 239.653503362473
2412 296.5 45.5 867.1367 3K 6 5 158.318376874285
2413 294.5 49.5 808.1812 3K 6 5 155.478539365021
2414 282.5 58.5 665.1604 3K 6 5 325.830390539886
2415 267.5 51.5 767.0128 3K 6 5 27.8733292145764
2416 271.5 46.5 808.6821 3K 6 5 283.343877009067
2417 266.5 47.5 770.9747 3K 6 5 501.088420384617
2418 263.5 39.5 735.7272 3K 6 5 697.679495519103
2419 306.5 38.5 821.6979 3K 6 5 306.594372659855
2420 274.5 36.5 600.4962 3K 6 5 1085.33200377619
2421 283.5 66.5 832.4601 3K 6 5 213.919455152193
2422 287.5 76.5 695.2873 3K 6 5 598.006003750801
2423 291.5 41.5 754.8543 3K 6 5 222.588406042107
2424 290.5 52.5 784.7343 3K 6 5 95.47425341301
2425 263.5 51.5 710.5908 3K 6 5 234.99761780323
2426 266.5 52.5 837.5182 3K 6 5 29.0724069071662
2427 277.5 78.5 758.047 3K 6 5 256.170485779125
2428 273.5 47.5 732.1186 3K 6 5 431.444567263012
2429 284.5 69.5 818.8272 3K 6 5 391.060712424444
2430 285.5 53.5 822.7666 3K 6 5 184.367655849532
2431 281.5 48.5 720.4237 3K 6 5 980.399653966749
2432 268.5 48.5 750.7086 3K 6 5 376.083800681775
2433 287.5 53.5 793.1226 3K 6 5 273.064040829037
2434 286.5 43.5 835.4721 3K 6 5 58.1051636301111
2435 282.5 46.5 803.7202 3K 6 5 234.5169303213
2436 278.5 37.5 588.7285 3K 6 5 1938.06781437273
2437 271.5 57.5 892.6466 3K 6 5 17.3670652063463
2438 277.5 75.5 809.5917 3K 6 5 69.3578136692342
2439 293.5 53.5 593.6648 3K 6 5 401.833033466428
2440 289.5 70.5 738.857 3K 6 5 142.918447446413
2441 293.5 49.5 689.5 3K 6 5 988.415701191616
2442 289.5 43.5 762.2767 3K 6 5 151.188790509388
2443 265.5 54.5 671.1587 3K 6 5 317.645666256048
2444 275.5 46.5 770.9415 3K 6 5 318.50266967544
2445 299.5 48.5 842.9998 3K 6 5 123.706097071255
2446 279.5 46.5 651.7876 3K 6 5 695.784926320528
2447 266.5 52.5 837.5182 3K 6 5 71.579727463266
2448 306.5 31.5 849.2942 3K 6 5 119.293225984143
2449 308.5 41.5 760.8571 3K 6 5 390.896600165849
2450 306.5 30.5 819.1657 3K 6 5 0.080002020754899
2451 288.5 54.5 777.6511 3K 6 5 129.963976616176
2452 275.5 50.5 697.0143 3K 6 5 893.386666912236
2453 281.5 76.5 819.9061 3K 6 5 180.203806805871
